,Giá tiền,Mã sản phẩm,Nhãn hiệu,Nguồn gốc,Kiểu máy,Kích cỡ,Chất liệu vỏ,Chất liệu dây,Chất liệu kính,Độ chịu nước,Chức năng khác,Bảo hiểm,Bảo hành quốc tế,Giới tính
3348,5.800.000,EM0890-85A,Citizen,Nhật Bản,Eco-Drive,30.5 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3349,6.990.000,FEV0V002TH,Orient,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L,Dây da,Kính cứng,50 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3350,3.470.000,EV0052-50E,Citizen,Nhật Bản,Quartz,36mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3351,11.030.000,BM6921-58E,Citizen,Nhật Bản,Eco-Drive,42mm,Titanium,Titanium,Kính Sapphire,100m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3352,6.760.000,MK3900,,Hoa Kỳ,Quartz,33 mm,Thép không gỉ,Thép không gỉ,Kính Cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3353,6.050.000,SSB364P1,Seiko,Nhật Bản,Quartz,45 mm,Thép không gỉ 316L,Dây dù,Kính cứng,100 m,"Lịch ngày, Chronograph",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3354,16.930.000,OG3811LW,Ogival,Thụy Sỹ,Swiss quartz (chạy pin),,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3355,2.840.000,BI1081-52E,Citizen,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3356,9.800.000,RA-AG0431L00B,Orient,Nhật Bản,Automatic,40.5 mm,Thép không gỉ 316L,Dây da,Kính cứng,30m,"F6T22 – Hỗ trợ dừng kim giây, lên cót tay",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3357,5.510.000,OP990-389AMK-GL-V,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính Sapphire,50m,"Open heart, Moon phase",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3358,3.270.000,OPA580501MS-T,Olympia Star,Thụy Sỹ,Quartz,39 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3359,1.800.000,SG1076.1101TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3360,2.670.000,F.1.1124.03,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3361,3.310.000,BI0980-50E,Citizen,Nhật Bản,Quartz,42mm,Thép không gỉ 316L,Thép không gỉ 316L,Mặt kính cứng,30m,"Lịch ngày, Lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3362,7.130.000,FGW04002W0,Orient,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L/Mạ PVD,Gốm Ceramic,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3363,3.830.000,OP2481LK-T,Olym Pianus,Nhật Bản,Quartz,30mm,Thép không gỉ 316L mạ vàng PVD,Thép không gỉ 316L mạ vàng PVD,Kính Sapphire,30 M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3364,6.400.000,EO1183-84X,Citizen,Nhật Bản,Eco-drive,34mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3365,2.000.000,FUNE1007W0,Orient,Nhật Bản,Quartz,42mm,Thép Không Gỉ,Dây Da,Mineral Crystal (Kính Cứng),50m,Lịch Ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3366,3.980.000,OP68322DSK-T-HT,Olym Pianus,Nhật Bản,Quartz,25 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3367,5.160.000,OP9935.71AMS-D,Olym Pianus,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3368,3.360.000,F16573/4,,Tây Ban Nha,Quartz,"45,8 mm",Thép không gỉ 316L,Dây da,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3369,8.120.000,AR1113-12B,Citizen,Nhật Bản,Eco-Drive,38 mm,Thép không gỉ 316L,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3370,8.800.000,EM0336-59D,Citizen,Nhật Bản,Eco-Drive,30 mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3371,12.970.000,BU0003-02P,Citizen,Nhật Bản,Eco-Drive,42mm,Thép - PVD vàng hồng,Dây da,Kính Sapphire,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3372,17.930.000,FC-200V1S32B,Frederique Constant,Thụy Sỹ,Quartz (Máy pin),29 mm,Thép không gỉ 316L,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3373,5.750.000,SWR033P1,Seiko,Nhật Bản,Quartz (Pin),32mm,Thép không gỉ,Thép không gỉ,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3374,15.250.000,SDV02003W0,Orient,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3375,3.040.000,FUNE7004C0,Orient,Nhật Bản,Quartz,42 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Kính,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3376,1.550.000,F.8.1039.03,Freelook,Pháp,Quartz (Pin),32mm,Thép không gỉ 316L,Dây da,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3377,2.570.000,F.1.1130.03,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3378,3.720.000,FGW0100GB0,Orient,Nhật Bản,Quartz,38 mm,Thép không gỉ 316L,Da,Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3379,2.700.000,BI1050-05A,Citizen,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L/Mạ PVD,Dây dù,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3380,4.285.000,EQ9063-04D,Citizen,Nhật Bản,Quartz (Máy Pin),34 mm,Thép không gỉ 316L,Dây da,Kính cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3381,3.410.000,BI1088-53P,Citizen,Nhật Bản,Quartz,"40,5mm",Thép Không Gỉ,Thép Không Gỉ,Mặt kính cứng,50m,"Lịch ngày, Lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3382,12.690.000,EW2560-86A,Citizen,Nhật Bản,Eco-Drive,30 mm,Titanium,Titanium,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3383,5.480.000,OP990-162AMK-T,Olym Pianus,Nhật Bản,Automatic,40 mm,Thép không gỉ 316L / Mạ vàng PVD,Thép không gỉ 316L / Mạ vàng PVD,Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3384,22.700.000,OG358.615AGR-GL-X,Ogival,Thụy Sĩ,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3385,1.950.000,SG80050.4101CF,SRWatch,Nhật Bản,Quartz (Pin),40mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3386,4.450.000,SG8887.1101AT,SRWatch,Nhật Bản,Japan Automatic Movement (Máy Cơ),42mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3387,15.180.000,SAF02001S0,Orient,Nhật Bản,Automatic,38.5mm,Thép không gỉ 316L / Mạ PVD,Dây Da,Kính Cứng,50 m,"Lịch ngày, thang đo năng lượng",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3388,7.750.000,CA0641-83E,Citizen,Nhật Bản,Eco-Drive (Năng Lượng Mặt Trời),44mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,100m,"Lịch ngày, Chronograph, Tachymeter",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3389,5.785.000,NH8360-80E,Citizen,Nhật Bản,Automatic,41 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,50 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3390,3.080.000,SUND6003W0,Orient,Nhật Bản,Quartz,36 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính Kính,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3391,3.900.000,SG8883.1102AT,SRWatch,Nhật Bản,Miyota 8215 (Automatic),40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cong Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3392,27.600.000,OG358.66AGR-GL,Ogival,Thụy Sĩ,Automatic,40mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da cao cấp,Sapphire,50m,Đính kim cương,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3393,3.290.000,F20357/4,,Tây Ban Nha,Quartz,41 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3394,9.590.000,RA-AA0006L19B,Orient,Nhật Bản,Automatic,42mm,Thép không gỉ 316L,Dây cao su,Kính Sapphire,200m,"Lịch ngày, lịch thứ, bezel",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3395,4.600.000,SG8872.4102,SRWatch,Nhật Bản,Miyota 82S7 Automatic,42mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50m,"Đồng hồ 24h, Open heart",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3396,6.485.000,EW2520-56Y,,Nhật Bản,Eco - Drive,30 mm,Thép,Thép,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3397,6.090.000,FE6089-84A,Citizen,Nhật Bản,Eco-Drive,36mm,Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3398,4.550.000,OPA28032DLK-T,Olympia Star,Thụy Sỹ,Quartz,24mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,"Lịch ngày, đính đá",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3399,8.130.000,OP9908-88AGS-GL-D,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L,Dây da,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3400,2.640.000,OP5657LS-T,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),26mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3401,9.230.000,OG385-022MW-T,Ogival,Thụy Sỹ,Swiss quartz (chạy pin),37mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3402,3.230.000,OP89322GSK-D,Olym Pianus,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L / Mạ vàng PVD,Kính Sapphire,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3403,5.990.000,BM8475-26E,Citizen,Nhật Bản,Quartz,42mm,Thép không gỉ 316L/Mạ PV,Dây da,Kính cứng,100m,"Lịch ngày, Lịch Thứ.",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3404,5.630.000,FDB0A003W0,Orient,Nhật Bản,Automatic,36 mm,Thép không gỉ 316L,Dây da,Kính Cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3405,7.400.000,EX1483-84A,Citizen,Nhật Bản,Eco-Drive,"29,5mm",Thép không gỉ / Mạ PVD,Thép không gỉ / Mạ PVD,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3406,8.550.000,CA4283-04L,Citizen,Nhật Bản,Eco-Drive,43mm,Thép không gỉ 316L/Mạ PV,Dây da,Kính cứng,100m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3407,21.250.000,OG388.67AGR-GL-T,Ogival,Thụy Sỹ,Automatic,40 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính Sapphire,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3408,5.140.000,OPA28018DLSK-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),26 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3409,11.185.000,NP1026-86A,Citizen,Nhật Bản,Automatic,40mm,Thép - PVD vàng hồng,Thép - PVD vàng hồng,Kính Sapphire,50M,Open heart,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3410,1.800.000,SL1902.4102TE,SRWatch,Nhật Bản,Japan Quartz (Máy pin),30mm,Thép không gỉ,Dây da (Genuine leather),Kính Sapphire,50m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3411,2.430.000,F.4.1054.02,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ,Thép không gỉ,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3412,7.200.000,SRW821P1,Seiko,Nhật Bản,Quartz,34 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ,Kính Sapphire chống lóa,100 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3413,2.000.000,FUNF2005D0,Orient,Nhật Bản,Quartz,40 mm,Thép không gỉ,Thép không gỉ,Mineral glass,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3414,5.360.000,OPA58012-04DMK-V,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),36 mm,Thép không gỉ/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3415,3.480.000,F16617/1,,Tây Ban Nha,Quartz,"24,74 / 28,00 mm",Thép không gỉ 316L,,Kính Cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3416,11.590.000,OPA55952DMS,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3417,2.450.000,SL5002.4102BL,SRWatch,Nhật Bản,Quartz,34mm,Thép không gỉ 316L,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3418,12.250.000,OG380-15DLR-GL-T,Ogival,Thụy Sỹ,Swiss quartz (chạy pin),30 mm,Thép không gỉ/Mạ PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3419,1.790.000,FL.2.10151.4,Freelook,Pháp,Quartz (Pin),36mm,Thép không gỉ 316L,Dây da,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3420,2.190.000,F.1.1125.05,Freelook,Pháp,Quartz (Pin),27mm,Thép không gỉ 316L,Thép không gỉ,Kính Cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3421,1.290.000,SL3006.1202CV,SRWatch,Nhật Bản,Quartz,30mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3422,5.670.000,FE6088-87A,Citizen,Nhật Bản,Eco-Drive,36mm,Thép không gỉ,Thép không gỉ,Kính cứng,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3423,18.200.000,96B215,Bulova,Hoa Kỳ,Quartz,41 mm,Thép không gỉ,Dây da,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
3424,8.500.000,CA7008-11E,Citizen,Nhật Bản,Eco - Drive,"42,5mm",Thép - PVD vàng,Dây da,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3425,8.050.000,FAC08001T0,Orient,Nhật Bản,Automatic,42 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,30 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3426,2.000.000,SG1076.1202TE,SRWatch,Nhật Bản,Quartz (Pin),39mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3427,2.850.000,BI1050-81F,Citizen,Nhật Bản,Quartz,40 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3428,4.400.000,OPA58012-07DMK-GL-D,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),36mm,Thép không gỉ/Mạ vàng PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3429,5.990.000,FSW02003D0,Orient,Nhật Bản,Quartz,35 mm,Thép không gỉ 316L/Mạ PVD,Dây da,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3430,3.890.000,FKV01005Y0,Orient,Nhật Bản,Quartz,44 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3431,3.260.000,FUNG2003B0,Orient,Nhật Bản,Quartz,42 mm,Thép không gỉ,Dây vải,Kính cứng,50 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3432,4.720.000,SRZ474P1,Seiko,Nhật Bản,Quartz,21.8 mm,Thép - PVD vàng,Thép - PVD vàng,Kính cứng,50M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3433,1.400.000,FL.1.10101.1,Freelook,Pháp,Quartz (Pin),35mm,Thép không gỉ 316L,Dây da,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3434,14.680.000,SSC481P1,Seiko,Nhật Bản,Solar,"44,2 mm",Thép - PVD Ion đen,Thép - PVD Ion đen,Kính Sapphire,100M,Bấm giờ,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3435,6.885.000,AW1676-86A,Citizen,Nhật Bản,Eco-Drive,42 mm,Thép không gỉ 316L,Thép không gỉ,Kính cứng,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3436,10.560.000,SSA367J1,Seiko,Nhật Bản,Automatic,40 mm,Thép,Thép,Kính Sapphire,100M,Presage,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3437,21.450.000,C001.007.22.013.00,Certina,Thụy Sỹ,Automatic (Máy tự động),29 mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,100 m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3438,4.500.000,OP990-08AMS-T,Olym Pianus,Nhật Bản,Automatic,40mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,"Lịch ngày, lịch thứ, dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3439,5.930.000,SRPA89K1,Seiko,Nhật Bản,Automatic,44 mm,Thép,Dây dù,Kính cứng,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3440,3.780.000,OPA580501-03MK-GL-V,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),39mm,Thép không gỉ/Mạ vàng PVD,Dây da,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3441,2.950.000,EQ0600-57E,Citizen,Nhật Bản,Quartz,28 mm,Thép không gỉ 316L,Thép không gỉ 316L,Mặt kính cứng,30 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3442,8.985.000,NJ0120-81E,Citizen,Nhật Bản,Automatic (Máy tự động),43 mm,Thép không gỉ,Thép không gỉ,Kính cứng,100m,"Lịch ngày, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3443,7.480.000,EM0530-81Y,Citizen,Nhật Bản,Eco-Drive,28.7 mm,Thép không gỉ 316L,Thép không gỉ,Kính sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3444,4.250.000,SL5009.4502BL,SRWatch,Nhật Bản,Quartz (Máy pin),28 mm x 35 mm,Thép không gỉ,Dây da,Kính Sapphire,50m,"Đính đá, kim trôi",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3445,5.260.000,OP8973.9AMSK-T,Olym Pianus,Nhật Bản,Automatic,38mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30M,"Hiển thị 24h, Open heart, dạ quang",5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3446,5.625.000,BM1150-61L,Citizen,Nhật Bản,Eco-Drive,37mm,Thép không gỉ,Thép không gỉ,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3447,6.400.000,SXDF62P1,Seiko,Nhật Bản,Quartz,30 mm,Thép không gỉ 316L,Thép không gỉ 316L/Mạ PVD,Kính Cứng,50 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nữ
3448,2.940.000,OPA98026GS-T,Olympia Star,Thụy Sĩ,Swiss quartz (Pin),41mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3449,4.650.000,C4292/2,Candino,Thuỵ Sĩ,Máy Quartz (Pin),36mm,Thép không gỉ 316L/Mạ vàng PVD,Dây da,Kính Sapphire,30m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3450,1.750.000,SL1608.1402TE,SRWatch,Nhật Bản,Quartz,28mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính Sapphire,50m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3451,5.100.000,OPA58012DLSK-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),26mm,Thép không gỉ 316L,Thép không gỉ 316L,Kính Sapphire,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3452,3.250.000,EJ6100-51N,Citizen,Nhật Bản,Quartz,25 mm,Thép không gỉ 316L/Mạ PVD,Thép không gỉ 316L/Mạ PVD,Kính cứng,30 m,,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3453,7.670.000,BU2035-05E,Citizen,Nhật Bản,Eco-Drive,44mm,Thép - PVD Ion đen,Dây dù,Kính cứng chịu lực,100M,,5 năm cả lỗi người dùng tại Xwatch,1 năm tiêu chuẩn đồng hồ chính hãng,Nam
3454,6.730.000,C4363/2,Candino,Thuỵ Sĩ,Máy Quartz (Pin),36mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ/Mạ vàng PVD,Kính Sapphire,30m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3455,3.780.000,OP990-06MCRS-T,Olym Pianus,Nhật Bản,Japan movement (Chạy pin),40mm,Thép không gỉ,Thép không gỉ,Kính Sapphire,30M,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nam
3456,1.260.000,FL.1.10113.3,Freelook,Pháp,Quartz (Pin),34mm,Thép không gỉ 316L,Dây da,Kính Cứng,50m,,5 năm cả lỗi người dùng tại Xwatch,2 năm,Nữ
3457,2.300.000,SG80051.1202CF,SRWatch,Nhật Bản,Quartz (Pin),40mm,Thép không gỉ 316L/Mạ vàng PVD,Thép không gỉ 316L/Mạ vàng PVD,Kính cong Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3458,1.090.000,SL3001.4601CV,SRWatch,Nhật Bản,Quartz,30mm,Thép không gỉ 316L / Mạ vàng PVD,Dây da,Kính Sapphire,50m,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nữ
3459,8.500.000,96B158,Bulova,Hoa Kỳ,Quartz,42mm,Thép không gỉ,Dây da,Kính cứng,30m,,5 năm cả lỗi người dùng tại Xwatch,3 năm,Nam
3460,8.380.000,SRPD73K1,Seiko,Nhật Bản,Automatic,42.5 mm,Thép không gỉ 316L,Dây mesh,Harlex Seiko,100 m,"Lịch ngày, lịch thứ",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3461,3.410.000,OPA580501-03MS-GL-T,Olympia Star,Thụy Sỹ,Swiss quartz (chạy pin),39mm,Thép không gỉ,Dây da,Kính Sapphire,30M,Lịch ngày,5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
3462,5.790.000,RA-KV0006Y10B,Orient,Nhật Bản,Quartz (Pin),42 mm,Thép không gỉ 316L,Dây da,Kính cứng,100M,"Lịch ngày, Chronograph, dạ quang",5 năm cả lỗi người dùng tại Xwatch,1 năm,Nam
